Names,Website,Introduction,Phone Number,Address,Review Count,Average Review Count,Store Shopping,In Store Pickup,Delivery,Type,Opens At,Questions,Answers,Meet Criteria
Demo Business,N/A,Demo Introduction,+923217989537,Demo Address,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False
Papa-Jee's Fast Food Restaurant,N/A,N/A,+92 42 35777174,"77, Ashraf Heights, Gulberg Rd, Millat Colony, Lahore, Punjab 54000, Pakistan",162,4.4,No,No,No,Restaurant,,,,False
Papa-Jee's Fast Food Restaurant,N/A,N/A,+92 307 4444628,"Main Boulevard Gulberg، near Askari bank, Main Market, Lahore, Punjab, Pakistan",4,5.0,No,No,No,Restaurant,,,,False
Gulberg Food point,savourfoods.com.pk,N/A,+92 51 111 728 687,"Main Boulevard Gulberg، near Askari bank, Main Market, Lahore, Punjab, Pakistan",22634,4.4,No,No,No,Restaurant,,,,False
Savour Foods,N/A,N/A,+92 343 4005570,"Syed Aashiq Hussain Rd، near Shama Chowk, Shershah Colony Lahore, Punjab 54000, Pakistan",1803,3.5,No,No,No,Restaurant,,,,False
Jeela Food Point,N/A,N/A,+92 343 4005570,"Main Market Rd, Gulberg 2, Lahore, Punjab 54000, Pakistan",21,4.6,No,No,No,Restaurant,,,,False
Bro Station,N/A,N/A,+92 319 0216544,"51 Main Boulevard Gulberg, adjacent to NEW KFC, Main Gulberg, Lahore, Punjab, Pakistan",2,5.0,No,No,No,Restaurant,,,,False
